oid_shchuna,eng_name
1,Sde Dov area
2,Tzukei Aviv
3,Ramat Aviv C
4,Tel Aviv University
5,Kochav Tzafon
6,Neve Avivim and surroundings
7,Ramat Aviv
8,Merkaz Hayeridim
9,Nofei Yam
10,Plan 30
11,Bavli
12,Kiryat Shaul
13,Hamashtelah
14,"Ganei Tzahala, Ramot Tzahala"
15,Tzahala
16,Tel Baruch
17,Neot Afikim B
18,Revivim
19,Neot Afikim A
20,North Tel Baruch
21,Tel Aviv Port
22,New North - northern section
23,Old North - northern section
24,Tzamarot Ayalon
25,New North - around Hamedina Square
26,Old North - southern section
27,New North - southern section
28,Lev Tel Aviv
29,Kerem Hateimanim
30,Montefiore
31,Ganei Sarona
32,Neve Ilan
33,Florentin
34,Shapira
35,Kiryat Shalom
36,"Ancient Jaffa, Jaffa Port"
37,Gelilot
38,Nahalat Yitzhak
39,Bitzaron and Ramat Yisrael
40,Tel Hayim
41,Yad Eliyahu
42,Ramat Hatayasim
43,Orot
44,Hatikva
45,Neve Hen
46,Neve Eliezer and East Kfar Shalom
47,Neve Barbour and West Kfar Shalom
48,Kefir
49,Nir Aviv
50,Ezra and Haargazim
51,South Park
52,"Levana, Yedidya"
53,Ramat Hahayal
54,Jaffa D (Givat Hatemarim)
55,Neve Dan
56,Hadar-Yosef
57,Maoz Aviv
58,Neve Tzedek
59,Holon Junction Business Area
60,Northern Jaffa
61,Churshot Park
62,Jaffa-Tel Aviv College and Dakar
63,Afeka
64,"Givat Herzl, Jaffa Work Area"
65,Atidim
66,Neve Sharet
67,Hayarkon Park
68,Neve Ofer
69,Jaffa 3 and Neve Golan
70,Ej'mi and Givat Aliyah
71,Tzahalon and Chaskon Houses
